('AA 22 97 43', 3), Sprite, 2, 1389, 2023-06-01 14:09:04.398909
('AA 22 97 43', 5), Monster, 3, 1386, 2023-06-01 14:09:12.230588
('AA 22 97 43', 3), Sprite, 2, 1384, 2023-06-01 14:23:29.112749
('AA 22 97 43', 3), Sprite, 2, 1382, 2023-06-01 14:25:23.139089
('AA 22 97 43', 5), Monster, 3, 1379, 2023-06-01 14:28:24.939193
('AA 22 97 43', 8), Dr Pepper, 2, 1377, 2023-06-01 14:28:45.111323
('AA 22 97 43', 3), Sprite, 2, 1375, 2023-06-01 14:29:34.806956
('AA 22 97 43', 3), Sprite, 2, 1373, 2023-06-01 14:30:17.107847
('AA 22 97 43', 8), Dr Pepper, 2, 1371, 2023-06-01 14:30:24.155635
('AA 22 97 43', 23), Lay's Sensations, 2, 1369, 2023-06-01 14:31:28.541801
('AA 22 97 43', 18), Lays, 2, 1367, 2023-06-01 14:33:27.058521
